c0;c1;c2;c3;c4;c5;c6;c7;c8;c9;c10;c11;c12;c13;c14;c15;c16;c17;c18;c19;c20;c21;c22;c23;c24;c25;c26;c27;c28;c29;c30;c31;c32;c33;c34;c35;c36;c37;c38;c39;c40;c41;c42;c43;c44;c45;c46;c47;c48;c49
325;3002;5783;7747;8885;8901;7927;5957;3338;273;-2778;-5539;-7616;-8814;-8952;-8049;-6176;-3591;-566;2515;5306;7466;8742;8990;8167;6387;3842;855;-2247;-5069;-7307;-8664;-9015;-8281;-6585;-4098;-1135;1970;4833;7133;8586;9022;8395;6772;4351;1414;-1689;-4595;-6954;-8494
-9027;-8494;-6958;-4596;-1695;1413;4345;6772;8392;9024;8585;7136;4836;1973;-1131;-4096;-6581;-8283;-9010;-8669;-7306;-5074;-2249;851;3838;6387;8162;8992;8741;7471;5303;2524;-568;-3581;-6180;-8043;-8956;-8810;-7625;-5531;-2796;286;3318;5971;7908;8918;8867;7770;5758;3058
2;-3056;-5754;-7769;-8866;-8919;-7909;-5974;-3324;-285;2788;5532;7621;8810;8955;8045;6183;3584;570;-2518;-5304;-7465;-8745;-8986;-8172;-6380;-3850;-848;2240;5076;7300;8670;9009;8286;6581;4101;1133;-1967;-4836;-7133;-8585;-9021;-8396;-6771;-4351;-1415;1692;4592;6956;8492
9029;8493;6958;4596;1695;-1414;-4344;-6773;-8391;-9025;-8584;-7135;-4839;-1970;1128;4099;6577;8288;9006;8671;7304;5076;2246;-846;-3844;-6382;-8167;-8988;-8744;-7468;-5308;-2519;565;3582;6180;8041;8958;8809;7624;5534;2791;-280;-3324;-5966;-7913;-8913;-8871;-7770;-5755;-3062
1;3055;5753;7770;8866;8918;7912;5970;3327;284;-2787;-5533;-7619;-8813;-8953;-8047;-6180;-3587;-569;2517;5304;7466;8745;8985;8172;6382;3847;850;-2243;-5071;-7305;-8666;-9012;-8283;-6586;-4096;-1136;1969;4835;7132;8585;9023;8394;6772;4351;1414;-1690;-4594;-6954;-8494
-9026;-8496;-6955;-4599;-1692;1409;4349;6770;8392;9025;8583;7138;4835;1974;-1132;-4095;-6581;-8283;-9010;-8670;-7303;-5077;-2246;848;3842;6381;8169;8987;8744;7467;5309;2518;-562;-3586;-6177;-8045;-8953;-8814;-7619;-5539;-2788;281;3321;5970;7909;8916;8868;7772;5754;3061
1;-3055;-5754;-7770;-8866;-8918;-7910;-5973;-3324;-288;2791;5530;7622;8808;8957;8045;6180;3587;569;-2517;-5305;-7464;-8747;-8983;-8172;-6382;-3848;-850;2243;5073;7302;8668;9010;8285;6584;4099;1133;-1968;-4834;-7135;-8582;-9025;-8394;-6772;-4352;-1412;1689;4593;6956;8491
9030;8493;6957;4597;1694;-1410;-4348;-6771;-8391;-9026;-8582;-7138;-4835;-1973;1129;4099;6577;8286;9009;8669;7305;5075;2247;-846;-3845;-6379;-8170;-8985;-8747;-7464;-5312;-2516;562;3586;6177;8043;8957;8809;7624;5534;2793;-285;-3318;-5972;-7908;-8916;-8869;-7769;-5758;-3058
-3;3057;5753;7769;8868;8915;7914;5970;3325;286;-2788;-5532;-7621;-8810;-8955;-8045;-6181;-3586;-571;2519;5305;7464;8745;8986;8170;6386;3843;854;-2246;-5071;-7302;-8670;-9009;-8285;-6584;-4097;-1137;1970;4835;7131;8588;9020;8396;6771;4353;1412;-1688;-4596;-6952;-8497
-9023;-8499;-6953;-4600;-1692;1409;4348;6770;8395;9021;8588;7132;4840;1971;-1130;-4095;-6583;-8282;-9011;-8668;-7306;-5074;-2248;847;3844;6379;8171;8985;8745;7467;5307;2522;-566;-3583;-6179;-8044;-8953;-8815;-7619;-5537;-2792;284;3319;5970;7910;8915;8870;7769;5756;3061
-1;-3053;-5754;-7771;-8864;-8922;-7906;-5976;-3322;-287;2788;5531;7623;8808;8958;8042;6184;3585;569;-2515;-5309;-7461;-8746;-8985;-8172;-6382;-3847;-851;2243;5073;7301;8671;9006;8290;6578;4104;1130;-1965;-4838;-7130;-8587;-9021;-8396;-6770;-4354;-1411;1688;4595;6955;8491
9031;8491;6959;4597;1691;-1408;-4348;-6772;-8389;-9028;-8582;-7137;-4837;-1972;1131;4095;6580;8286;9006;8674;7300;5080;2242;-845;-3843;-6382;-8167;-8988;-8744;-7467;-5308;-2521;565;3584;6178;8044;8954;8812;7624;5532;2794;-284;-3320;-5969;-7910;-8916;-8868;-7772;-5755;-3060
-2;3057;5753;7768;8869;8916;7912;5972;3324;287;-2790;-5529;-7624;-8808;-8957;-8045;-6181;-3587;-569;2517;5304;7467;8742;8989;8167;6387;3844;850;-2240;-5076;-7299;-8671;-9008;-8287;-6582;-4098;-1137;1971;4833;7134;8584;9023;8395;6771;4352;1413;-1689;-4594;-6955;-8493
-9027;-8496;-6955;-4598;-1693;1411;4345;6773;8390;9027;8582;7138;4835;1975;-1133;-4094;-6582;-8282;-9012;-8667;-7306;-5075;-2246;847;3842;6381;8170;8985;8746;7465;5310;2520;-566;-3582;-6180;-8041;-8957;-8810;-7624;-5535;-2789;279;3325;5966;7911;8916;8868;7771;5756;3059
3;-3058;-5750;-7772;-8865;-8919;-7909;-5974;-3322;-289;2790;5532;7620;8810;8957;8043;6183;3586;569;-2518;-5303;-7467;-8742;-8988;-8169;-6384;-3846;-851;2242;5075;7300;8670;9009;8285;6584;4099;1133;-1967;-4835;-7134;-8582;-9027;-8391;-6775;-4350;-1413;1689;4594;6955;8492
9029;8493;6958;4597;1693;-1409;-4349;-6770;-8392;-9023;-8586;-7134;-4839;-1971;1129;4098;6577;8287;9007;8672;7302;5076;2248;-850;-3838;-6387;-8164;-8988;-8745;-7467;-5307;-2523;569;3580;6180;8041;8960;8805;7628;5532;2791;-280;-3324;-5967;-7910;-8917;-8867;-7772;-5756;-3059
-2;3056;5754;7767;8869;8915;7914;5970;3325;286;-2789;-5531;-7621;-8810;-8955;-8047;-6178;-3590;-567;2516;5305;7466;8742;8989;8169;6384;3847;849;-2242;-5072;-7305;-8665;-9014;-8283;-6583;-4100;-1134;1969;4832;7135;8583;9025;8393;6773;4351;1415;-1691;-4594;-6953;-8496
-9024;-8498;-6954;-4600;-1691;1408;4349;6769;8394;9022;8587;7135;4837;1972;-1129;-4098;-6579;-8284;-9010;-8670;-7303;-5078;-2245;847;3842;6382;8168;8986;8746;7467;5306;2522;-564;-3586;-6175;-8047;-8953;-8813;-7621;-5537;-2790;281;3321;5969;7910;8916;8869;7769;5758;3059
1;-3054;-5755;-7768;-8868;-8917;-7910;-5973;-3323;-288;2789;5532;7621;8810;8956;8044;6183;3585;569;-2514;-5310;-7459;-8749;-8983;-8172;-6384;-3845;-851;2242;5075;7298;8672;9008;8287;6582;4099;1134;-1967;-4837;-7130;-8586;-9024;-8392;-6775;-4350;-1414;1690;4594;6954;8493
9028;8494;6958;4596;1693;-1410;-4348;-6768;-8396;-9020;-8588;-7134;-4837;-1974;1132;4095;6580;8284;9011;8666;7310;5071;2249;-849;-3842;-6382;-8167;-8987;-8745;-7467;-5309;-2519;563;3586;6175;8046;8953;8813;7621;5536;2791;-281;-3322;-5968;-7911;-8916;-8868;-7772;-5754;-3062
-1;3056;5753;7768;8870;8914;7914;5970;3325;286;-2788;-5531;-7622;-8809;-8957;-8044;-6182;-3587;-569;2518;5302;7469;8741;8988;8170;6384;3845;852;-2243;-5073;-7303;-8666;-9013;-8282;-6586;-4098;-1133;1966;4837;7130;8586;9023;8394;6773;4350;1415;-1690;-4594;-6954;-8495
-9025;-8497;-6954;-4599;-1693;1410;4347;6772;8390;9026;8584;7134;4841;1969;-1128;-4097;-6580;-8285;-9007;-8673;-7300;-5080;-2245;849;3839;6385;8166;8988;8743;7468;5308;2520;-564;-3584;-6179;-8042;-8956;-8810;-7624;-5534;-2793;284;3319;5971;7908;8917;8868;7770;5758;3056
6;-3059;-5751;-7771;-8865;-8920;-7908;-5975;-3321;-291;2795;5524;7626;8807;8958;8044;6181;3586;571;-2520;-5301;-7469;-8741;-8989;-8168;-6385;-3845;-853;2245;5071;7303;8669;9009;8285;6584;4098;1136;-1969;-4835;-7133;-8583;-9025;-8393;-6774;-4350;-1414;1690;4592;6956;8493
9027;8496;6956;4596;1695;-1410;-4349;-6768;-8395;-9021;-8588;-7131;-4843;-1967;1126;4099;6578;8284;9010;8670;7303;5078;2245;-846;-3843;-6381;-8169;-8985;-8747;-7465;-5309;-2521;568;3579;6182;8040;8958;8810;7623;5534;2792;-282;-3321;-5968;-7912;-8914;-8869;-7771;-5756;-3060
-1;3055;5754;7768;8869;8915;7914;5969;3327;284;-2787;-5532;-7620;-8810;-8957;-8044;-6181;-3587;-569;2516;5306;7464;8745;8986;8172;6381;3849;849;-2243;-5070;-7306;-8666;-9012;-8284;-6582;-4102;-1130;1962;4842;7125;8590;9021;8394;6775;4349;1415;-1690;-4593;-6956;-8491
