c0;c1;c2;c3;c4;c5;c6;c7;c8;c9;c10;c11;c12;c13;c14;c15;c16;c17;c18;c19;c20;c21;c22;c23;c24;c25;c26;c27;c28;c29;c30;c31;c32;c33;c34;c35;c36;c37;c38;c39;c40;c41;c42;c43;c44;c45;c46;c47;c48;c49
193;1807;3623;5203;6624;7714;8527;8938;9013;8672;7998;6962;5652;4090;2368;534;-1308;-3110;-4770;-6235;-7436;-8323;-8861;-9028;-8811;-8226;-7297;-6052;-4567;-2875;-1073;781;2599;4308;5836;7118;8102;8744;9018;8913;8432;7599;6442;5020;3378;1604;-247;-2078;-3833;-5414
-6779;-7849;-8596;-8977;-8983;-8608;-7874;-6807;-5454;-3870;-2127;-291;1557;3336;4982;6408;7575;8414;8906;9021;8752;8126;7144;5874;4348;2643;826;-1023;-2836;-4521;-6023;-7267;-8206;-8803;-9026;-8870;-8342;-7461;-6268;-4812;-3148;-1362;495;2317;4054;5611;6938;7968;8668;9001
8952;8535;7747;6645;5255;3648;1885;46;-1798;-3566;-5181;-6584;-7702;-8502;-8942;-9007;-8691;-8014;-6990;-5685;-4128;-2409;-579;1270;3066;4736;6203;7412;8305;8856;9024;8824;8242;7321;6088;4600;2918;1115;-737;-2558;-4268;-5805;-7090;-8083;-8734;-9014;-8921;-8448;-7620;-6475
-5051;-3422;-1643;201;2039;3790;5383;6749;7828;8583;8972;8987;8622;7894;6836;5488;3910;2168;333;-1512;-3299;-4941;-6382;-7547;-8400;-8900;-9019;-8768;-8140;-7172;-5907;-4384;-2685;-870;984;2791;4487;5988;7244;8188;8792;9027;8875;8361;7483;6301;4845;3192;1399;-447
-2279;-4012;-5580;-6910;-7948;-8657;-8994;-8961;-8545;-7774;-6669;-5295;-3682;-1931;-86;1755;3524;5150;6549;7684;8485;8938;9009;8702;8033;7018;5719;4166;2450;622;-1227;-3026;-4700;-6169;-7390;-8287;-8848;-9024;-8833;-8261;-7344;-6123;-4633;-2964;-1154;692;2518;4231;5769;7067
8061;8725;9010;8930;8458;7649;6499;5091;3459;1688;-161;-1996;-3752;-5349;-6718;-7809;-8568;-8968;-8991;-8634;-7915;-6863;-5523;-3948;-2212;-375;1470;3256;4909;6346;7529;8383;8891;9022;8777;8158;7201;5935;4424;2726;912;-940;-2752;-4449;-5956;-7218;-8170;-8781;-9027;-8882
-8379;-7505;-6333;-4880;-3233;-1443;407;2233;3979;5539;6886;7925;8645;8992;8965;8560;7793;6702;5324;3726;1971;129;-1713;-3485;-5115;-6518;-7664;-8469;-8932;-9010;-8716;-8051;-7047;-5749;-4205;-2491;-665;1185;2986;4661;6141;7361;8274;8834;9030;8836;8282;7369;6152;4674
3000;1199;-650;-2476;-4193;-5738;-7037;-8045;-8710;-9011;-8932;-8479;-7665;-6534;-5124;-3499;-1730;117;1955;3713;5313;6690;7788;8552;8967;8990;8650;7934;6893;5556;3988;2251;421;-1428;-3217;-4871;-6320;-7500;-8369;-8883;-9024;-8787;-8176;-7226;-5967;-4463;-2765;-955;898;2709
4414;5922;7194;8150;8774;9021;8895;8389;7535;6358;4923;3268;1489;-363;-2196;-3933;-5513;-6852;-7908;-8631;-8989;-8969;-8574;-7815;-6728;-5363;-3762;-2014;-173;1672;3446;5077;6492;7637;8456;8926;9012;8727;8070;7074;5781;4246;2529;711;-1141;-2947;-4622;-6111;-7335;-8257
-8825;-9030;-8846;-8296;-7397;-6179;-4716;-3035;-1247;613;2430;4158;5703;7011;8025;8699;9008;8940;8490;7692;6559;5163;3536;1773;-76;-1911;-3674;-5277;-6662;-7765;-8541;-8957;-8997;-8661;-7956;-6918;-5592;-4024;-2295;-462;1385;3179;4831;6292;7474;8355;8874;9026;8795;8196
7250;6002;4498;2808;995;-852;-2672;-4372;-5894;-7163;-8136;-8760;-9021;-8903;-8403;-7560;-6389;-4956;-3311;-1530;321;2152;3898;5476;6824;7889;8616;8987;8973;8587;7837;6758;5395;3803;2053;217;-1629;-3406;-5043;-6462;-7614;-8442;-8917;-9017;-8737;-8090;-7099;-5817;-4282;-2573
-753;1100;2904;4588;6076;7312;8237;8819;9027;8856;8312;7420;6214;4747;3082;1283;-564;-2392;-4119;-5669;-6986;-8003;-8688;-9006;-8944;-8508;-7711;-6591;-5196;-3578;-1816;33;1868;3636;5241;6632;7744;8524;8956;8997;8675;7974;6948;5622;4067;2331;510;-1347;-3134;-4800
-6257;-7453;-8336;-8867;-9027;-8804;-8215;-7274;-6035;-4535;-2847;-1040;811;2628;4335;5861;7136;8118;8748;9023;8905;8422;7582;6420;4992;3352;1570;-276;-2111;-3858;-5443;-6796;-7868;-8604;-8981;-8979;-8599;-7859;-6785;-5431;-3841;-2096;-259;1587;3367;5004;6435;7586;8432;8906
9021;8747;8107;7130;5846;4322;2613;795;-1057;-2863;-4551;-6044;-7287;-8220;-8808;-9028;-8863;-8331;-7443;-6245;-4784;-3121;-1327;522;2352;4080;5635;6960;7981;8680;8999;8952;8520;7735;6621;5231;3617;1857;13;-1831;-3590;-5212;-6599;-7724;-8510;-8948;-9004;-8684;-7995;-6976
-5655;-4105;-2376;-547;1299;3099;4759;6228;7428;8320;8859;9027;8814;8231;7303;6062;4578;2885;1086;-770;-2587;-4298;-5824;-7116;-8092;-8745;-9013;-8918;-8435;-7604;-6453;-5025;-3393;-1612;233;2071;3817;5411;6766;7847;8591;8977;8982;8614;7877;6817;5461;3884;2134;306
-1546;-3326;-4968;-6404;-7564;-8413;-8904;-9018;-8761;-8124;-7157;-5878;-4361;-2651;-842;1017;2822;4512;6016;7257;8205;8798;9026;8873;8345;7468;6276;4820;3160;1371;-482;-2308;-4041;-5604;-6928;-7965;-8663;-9000;-8956;-8535;-7756;-6651;-5263;-3661;-1895;-57;1786;3557;5172;6573
7699;8497;8942;9006;8696;8016;7002;5690;4141;2417;593;-1260;-3055;-4726;-6196;-7402;-8304;-8851;-9025;-8828;-8244;-7331;-6094;-4612;-2929;-1127;727;2545;4260;5796;7082;8080;8729;9013;8925;8450;7627;6483;5059;3434;1653;-188;-2030;-3778;-5376;-6739;-7824;-8579;-8970;-8989
